"Term","Kind","Quantity","Case","Hyphens","Underscores","Business","Occurrences"
"compute","Noun","Singular","Lower","No","No","Yes","17"
"agreement","Noun","Singular","Lower","No","No","Yes","17"
"storage","Noun","Singular","Lower","No","No","Yes","11"
"network","Noun","Singular","Lower","No","No","Yes","11"
"component","Noun","Singular","Lower","No","No","Yes","11"
"application","Noun","Singular","Lower","No","No","Yes","11"
"storagelink","Noun","Singular","Lower","No","No","Yes","7"
"sensor","Noun","Singular","Lower","No","No","Yes","7"
"networkinterface","Noun","Singular","Lower","No","No","Yes","7"
"componentlink","Noun","Singular","Lower","No","No","Yes","7"
"collector","Verb","Singular","Lower","No","No","Yes","7"
"agreement_link","Noun","Singular","Lower","Yes","No","Yes","7"
"stop","Verb","Singular","Lower","No","No","Yes","6"
"start","Verb","Singular","Lower","No","No","Yes","6"
"user_data","Noun","Singular","Lower","Yes","No","Yes","4"
"suspend","Verb","Singular","Lower","No","No","Yes","4"
"ssh_key","Noun","Singular","Lower","Yes","No","Yes","4"
"small","Noun","Singular","Lower","No","No","Yes","4"
"resource_tpl","Noun","Singular","Lower","Yes","No","Yes","4"
"res_tpl","Noun","Singular","Lower","Yes","No","Yes","4"
"publisher","Noun","Singular","Lower","No","No","Yes","4"
"os_tpl","Noun","Singular","Lower","Yes","No","Yes","4"
"metric","Noun","Singular","Lower","No","No","Yes","4"
"mem_small","Noun","Singular","Lower","Yes","No","Yes","4"
"mem_medium","Noun","Singular","Lower","Yes","No","Yes","4"
"mem_large","Noun","Singular","Lower","Yes","No","Yes","4"
"medium","Noun","Singular","Lower","No","No","Yes","4"
"large","Noun","Singular","Lower","No","No","Yes","4"
"ipnetworkinterface","Noun","Singular","Lower","No","No","Yes","4"
"ipnetwork","Noun","Singular","Lower","No","No","Yes","4"
"databaselink","Noun","Singular","Lower","No","No","Yes","4"
"database","Noun","Singular","Lower","No","No","Yes","4"
"app_tpl","Noun","Singular","Lower","Yes","No","Yes","4"
"agreement_tpl","Noun","Singular","Lower","Yes","No","Yes","4"
"agreement_term","Noun","Singular","Lower","Yes","No","Yes","4"
"aggregator","Noun","Singular","Lower","No","No","Yes","4"
"up","Verb","Singular","Lower","No","No","Yes","2"
"terminate","Verb","Singular","Lower","No","No","Yes","2"
"save","Verb","Singular","Lower","No","No","Yes","2"
"resume","Verb","Singular","Lower","No","No","Yes","2"
"restart","Verb","Singular","Lower","No","No","Yes","2"
"reject","Verb","Singular","Lower","No","No","Yes","2"
"online","Verb","Singular","Lower","No","No","Yes","2"
"offline","Verb","Singular","Lower","No","No","Yes","2"
"down","Verb","Singular","Lower","No","No","Yes","2"
"accept","Verb","Singular","Lower","No","No","Yes","2"
