Google Cloud Platform,compute,RESOURCE,,GET,/project/aggregated/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,GET,/project/aggregated/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,aggregated,GET,/project/aggregated/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,addresses,GET,/project/aggregated/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,regions,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,region,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,addresses,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,address,DELETE,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,regions,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,region,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,addresses,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,address,GET,/project/regions/region/addresses/address,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,POST,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,POST,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,regions,POST,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,region,POST,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,addresses,POST,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,GET,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,GET,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,regions,GET,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,region,GET,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,addresses,GET,/project/regions/region/addresses,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,GET,/project/aggregated/autoscalers,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,GET,/project/aggregated/autoscalers,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,aggregated,GET,/project/aggregated/autoscalers,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,autoscalers,GET,/project/aggregated/autoscalers,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,zones,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,zone,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,autoscalers,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,autoscaler,DELETE,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,project,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,zones,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,zone,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,autoscalers,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,autoscaler,GET,/project/zones/zone/autoscalers/autoscaler,https://cloud.google.com/compute/docs/reference/latest/
Google Cloud Platform,compute,RESOURCE,,POST,/project/zones/zone/autoscalers,https://cloud.google.com/compute/docs/reference/latest/
