OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/databases/{databaseName},DELETE,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/users/{name},DELETE,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId},DELETE,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/flavors,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/flavors/{flavorId},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/action,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/users,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/users,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/root,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/root,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/databases,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0/{accountId}/instances/{instanceId}/databases,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,dbaas,/v1.0,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/dbaas.json
OpenStack,flavor-access-v2.1,/v2.1/flavors/1,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/flavor-access-v2.1.json
OpenStack,flavor-access-v2.1,/v2.1/flavors,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/flavor-access-v2.1.json
OpenStack,flavor-access-v2.1,/v2.1/flavors/10/action,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/flavor-access-v2.1.json
OpenStack,flavor-access-v2.1,/v2.1/flavors/10/flavor-access,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/flavor-access-v2.1.json
OpenStack,flavor-access-v2.1,/v2.1/flavors/detail,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/flavor-access-v2.1.json
OpenStack,identity-admin,/v2.0,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users/{user_id},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users/{name},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tenants/{tenantId},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/extensions/{alias},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tokens/{tokenId}/endpoints,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tenants/{tenantId}/users/{userId}/roles,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users/{user_id}/roles,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/extensions,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tenants,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users/{userId},PUT,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/users/{userId},DELETE,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tokens,POST,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tokens/{tokenId},HEAD,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity-admin,/v2.0/tokens/{tokenId},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity-admin.json
OpenStack,identity,/v2.0,GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity.json
OpenStack,identity,/v2.0/extensions/{alias},GET,http://rackerlabs.github.io/wadl2swagger/openstack/swagger/identity.json
