"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=activateProject&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/activateProject.html","Activates a project"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addAccountToProject&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addAccountToProject.html","Adds account to a project"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBaremetalDhcp&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBaremetalDhcp.html","adds a baremetal dhcp server"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBaremetalHost&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBaremetalHost.html","add a baremetal host"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBaremetalPxeKickStartServer&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBaremetalPxeKickStartServer.html","add a baremetal pxe server"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBaremetalPxePingServer&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBaremetalPxePingServer.html","add a baremetal ping pxe server"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBaremetalRct&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBaremetalRct.html","adds baremetal rack configuration text"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBigSwitchBcfDevice&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBigSwitchBcfDevice.html","Adds a BigSwitch BCF Controller device"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addBrocadeVcsDevice&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addBrocadeVcsDevice.html","Adds a Brocade VCS Switch"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addCiscoAsa1000vResource&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addCiscoAsa1000vResource.html","Adds a Cisco Asa 1000v appliance"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addCiscoVnmcResource&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addCiscoVnmcResource.html","Adds a Cisco Vnmc Controller"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addCluster&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addCluster.html","Adds a new cluster"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addExternalFirewall&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addExternalFirewall.html","Adds an external firewall appliance"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addExternalLoadBalancer&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addExternalLoadBalancer.html","Adds F5 external load balancer appliance."
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addF5LoadBalancer&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addF5LoadBalancer.html","Adds a F5 BigIP load balancer device"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addGloboDnsHost&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addGloboDnsHost.html","Adds the GloboDNS external host"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addGuestOs&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addGuestOs.html","Add a new guest OS type"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addGuestOsMapping&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addGuestOsMapping.html","Adds a guest OS name to hypervisor OS name mapping"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addHost&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addHost.html","Adds a new host."
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addImageStore&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addImageStore.html","Adds backup image store."
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addImageStoreS3&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addImageStoreS3.html","Adds S3 Image Store"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addIpToNic&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addIpToNic.html","Assigns secondary IP to NIC"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addLdapConfiguration&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addLdapConfiguration.html","Add a new Ldap Configuration"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addNetscalerLoadBalancer&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addNetscalerLoadBalancer.html","Adds a netscaler load balancer device"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addNetworkDevice&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addNetworkDevice.html","Adds a network device of one of the following types: ExternalDhcp, ExternalFirewall, ExternalLoadBalancer, PxeServer"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addNetworkServiceProvider&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addNetworkServiceProvider.html","Adds a network serviceProvider to a physical network"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addNicToVirtualMachine&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addNicToVirtualMachine.html","Adds VM to specified network by creating a NIC"
"Apache CloudStack","API 4.9","https://cloudstack.provider.com:[port]/client/api?command=addNiciraNvpDevice&amp;[parameters of this command]","POST","http://cloudstack.apache.org/api/apidocs-4.9/apis/addNiciraNvpDevice.html","Adds a Nicira NVP device"
